Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","10,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,07,El Oro,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","9,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","9,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","9,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,12,Los Ríos,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","8,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2021,0","8,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","8,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,6,No Aplica,Personas fallecidas,"2021,0","8,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,08,Esmeraldas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","7,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,09,Guayas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","7,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","7,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,4,No Aplica,Personas fallecidas,"2021,0","7,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,07,El Oro,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","6,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,09,Guayas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","6,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,14,Morona Santiago,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","6,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,5,No Aplica,Personas fallecidas,"2021,0","6,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","5,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,21,Sucumbios,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","5,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","5,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2021,0","5,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,13,Manabí,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2021,0","4,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","4,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,24,Santa Elena,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","4,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,6,No Aplica,Personas fallecidas,"2021,0","4,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,01,Azuay,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2021,0","3,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,05,Cotopaxi,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","3,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,14,Morona Santiago,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","3,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,18,Tungurahua,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","3,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,7,No Aplica,Personas fallecidas,"2021,0","3,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,09,Guayas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","2,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,12,Los Ríos,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","2,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,4,No Aplica,Personas fallecidas,"2021,0","2,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,6,No Aplica,Personas fallecidas,"2021,0","2,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,01,Azuay,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","1,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,06,Chimborazo,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","1,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,07,El Oro,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","1,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,22,Orellana,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2021,0","1,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2021,0","1,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,24,Santa Elena,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2021,0","1,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,18,Tungurahua,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2021,0","1,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2021,0","1,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,16,No Aplica,Personas fallecidas,"2021,0","1,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,09,Guayas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2020,0","12,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","12,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2020,0","12,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,01,Azuay,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2020,0","11,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,02,Bolívar,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","11,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,08,Esmeraldas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,5,No Aplica,Personas fallecidas,"2020,0","11,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,09,Guayas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","11,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,13,Manabí,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","11,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,10,No Aplica,Personas fallecidas,"2020,0","11,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,07,El Oro,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","10,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,09,Guayas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","10,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2020,0","10,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,4,No Aplica,Personas fallecidas,"2020,0","10,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,07,El Oro,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2020,0","9,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","9,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","9,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,4,No Aplica,Personas fallecidas,"2020,0","9,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,13,Manabí,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2020,0","8,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2020,0","8,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,5,No Aplica,Personas fallecidas,"2020,0","8,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,07,El Oro,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","7,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,12,Los Ríos,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","7,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2020,0","7,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,4,No Aplica,Personas fallecidas,"2020,0","7,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,07,El Oro,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","6,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,13,Manabí,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","6,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,17,Pichincha,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","6,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","6,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,4,No Aplica,Personas fallecidas,"2020,0","6,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,18,Tungurahua,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2020,0","5,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,3,No Aplica,Personas fallecidas,"2020,0","5,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,09,Guayas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,1,No Aplica,Personas fallecidas,"2020,0","4,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
8002.1,11,Loja,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Personas fallecidas por eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,Personas fallecidas,"2020,0","4,0",Servicio Nacional de Gestión de Riesgos,Fallecidos,Personas,ODS 1
